"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6"
0,17;-62,09;-123,50;-185,76;-248,37;-311,32
0,17;-62,11;-123,50;-185,77;-248,37;-311,32
0,15;-61,92;-123,50;-185,59;-248,37;-311,32
0,34;-61,92;-123,50;-185,59;-248,37;-311,32
0,34;-61,92;-123,50;-185,59;-248,37;-311,32
0,34;-61,92;-123,50;-185,59;-248,37;-311,32
0,34;-61,94;-123,50;-185,59;-248,37;-311,32
0,34;-61,75;-123,50;-185,59;-248,37;-311,32
0,34;-61,75;-123,50;-185,59;-248,37;-311,32
0,34;-61,75;-123,50;-185,59;-248,37;-311,32
0,34;-61,75;-123,50;-185,59;-248,37;-311,32
0,34;-61,75;-123,50;-185,59;-248,37;-311,32
0,34;-61,77;-123,50;-185,59;-248,37;-311,32
0,34;-61,58;-123,50;-185,59;-248,37;-311,32
0,34;-61,58;-123,50;-185,59;-248,37;-311,32
0,34;-61,58;-123,50;-185,59;-248,37;-311,32
0,34;-61,58;-123,50;-185,59;-248,37;-311,32
0,34;-61,58;-123,51;-185,59;-248,37;-311,32
0,37;-61,58;-123,32;-185,59;-248,37;-311,32
0,17;-61,58;-123,31;-185,59;-248,37;-311,32
0,17;-61,58;-123,51;-185,59;-248,37;-311,32
0,17;-61,58;-123,32;-185,59;-248,36;-311,32
0,17;-61,58;-123,32;-185,59;-248,54;-311,32
0,17;-61,58;-123,32;-185,59;-248,54;-311,32
0,17;-61,58;-123,32;-185,59;-248,54;-311,31
0,20;-61,58;-123,32;-185,59;-248,54;-311,49
0,00;-61,58;-123,32;-185,59;-248,54;-311,49
0,00;-61,58;-123,32;-185,59;-248,54;-311,49
0,00;-61,58;-123,32;-185,57;-248,54;-311,49
0,00;-61,56;-123,32;-185,76;-248,54;-311,49
0,00;-61,75;-123,32;-185,76;-248,54;-311,49
0,02;-61,75;-123,32;-185,76;-248,54;-311,49
-0,17;-61,75;-123,34;-185,76;-248,54;-311,49
-0,17;-61,75;-123,15;-185,76;-248,54;-311,49
