"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6"
-17,56;1,67;-15,50;-89,77;-101,07;-58,83
-17,18;1,33;-12,87;-89,36;-100,77;-59,81
-13,30;0,98;-13,94;-88,45;-100,26;-60,96
-12,59;0,76;-18,25;-87,81;-99,74;-62,39
-14,63;0,01;-16,56;-86,95;-99,28;-63,54
-14,23;-0,50;-16,40;-86,15;-98,59;-64,97
-14,09;-0,96;-21,97;-85,11;-97,95;-66,12
-9,78;-1,65;-18,87;-84,14;-97,10;-67,50
-11,18;-2,21;-23,26;-82,93;-96,24;-68,93
-11,36;-3,24;-25,47;-81,73;-95,43;-70,03
-10,97;-4,46;-22,72;-80,58;-94,40;-71,69
-10,41;-4,67;-28,27;-79,20;-93,42;-72,84
-8,14;-6,11;-26,17;-77,83;-92,16;-74,16
-7,85;-7,44;-30,32;-76,51;-91,18;-75,76
-8,27;-8,17;-31,70;-74,96;-89,98;-77,14
-7,75;-9,26;-32,96;-73,42;-88,83;-78,52
-7,30;-11,17;-34,97;-71,92;-87,40;-79,90
-6,67;-11,20;-35,37;-70,15;-86,25;-81,27
-5,69;-13,28;-38,01;-68,66;-84,93;-82,65
-5,11;-14,72;-38,75;-66,94;-83,33;-84,03
-4,71;-15,74;-40,82;-65,22;-82,01;-85,40
-4,59;-17,76;-42,14;-63,56;-80,41;-86,78
-4,31;-18,26;-43,69;-61,61;-79,09;-88,21
-3,73;-20,40;-45,35;-60,01;-77,54;-89,36
-3,39;-21,42;-46,39;-57,72;-75,99;-90,79
-3,05;-23,26;-48,28;-56,63;-74,50;-91,95
-2,70;-24,64;-49,31;-54,11;-72,73;-93,37
-2,30;-25,90;-51,21;-53,02;-71,24;-94,58
-2,13;-27,86;-52,35;-50,56;-69,46;-95,84
-1,95;-28,54;-53,73;-49,18;-67,92;-96,82
-1,72;-30,95;-55,22;-46,95;-66,42;-98,07
-1,78;-31,75;-56,14;-45,52;-64,65;-99,11
-1,55;-33,59;-57,57;-43,51;-63,16;-100,14
-1,55;-35,03;-58,83;-42,08;-61,39;-101,17
-1,49;-36,11;-59,81;-40,14;-59,84;-102,26
-1,72;-37,84;-61,07;-38,42;-58,29;-103,06
-1,66;-38,64;-62,16;-36,64;-56,75;-104,20
-1,77;-40,59;-62,96;-35,15;-55,26;-104,84
-2,17;-41,62;-64,05;-33,32;-53,37;-105,75
-2,29;-42,48;-64,97;-32,12;-52,39;-106,44
-2,63;-44,21;-65,66;-29,94;-50,28;-107,12
-2,91;-45,29;-66,34;-29,31;-49,24;-107,81
